Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN021","Canada","Travel","Restrictions","Travel advisory warning against non-essential travel to China issued","Government of Canada","January 29, 2020"
"BC005","British Columbia","Case management","Self-isolation","Guidance on self-isolation published","Minister of Health, Provincial Health Officer","February  4, 2020"
"CAN022","Canada","Travel","Restrictions","Travel advisory warning against all travel to the cities of Daegu and Cheongdo issued","Government of Canada","February 29, 2020"
"CAN023","Canada","Travel","Restrictions","Travel advisory warning against all non-essential travel to affected regions of Italy issued","Government of Canada","March  2, 2020"
"CAN024","Canada","Travel","Restrictions","Travel advisory warning against all travel to Iran issued","Government of Canada","March  6, 2020"
"CAN025","Canada","Travel","Restrictions","Travel advisory warning against all cruise ship travel issued","Government of Canada","March  9, 2020"
"CAN026","Canada","Distancing","Work from home","Recommendation for the adoption of work-from-home policies issued","Government of Canada","March 10, 2020"
"CAN075","Canada","Case management","Self-isolation","Guidance on self-isolation published","Public Health Agency of Canada","March 11, 2020"
"CAN027","Canada","Travel","Restrictions","Cruise ship season postponed","Government of Canada","March 13, 2020"
"CAN028","Canada","Travel","Restrictions","Travel advisory warning against all non-essential travel outside Canada issued","Government of Canada","March 14, 2020"
"BC008","British Columbia","Closures/openings","Education","First post-secondary school closure in province","Government of British Columbia, Provincial Health Officer","March 16, 2020"
"BC009","British Columbia","Distancing","Gatherings","Gatherings of more than 50 people prohibited","Government of British Columbia, Provincial Health Officer","March 16, 2020"
"BC011","British Columbia","Health services","Visitors","Visitor access to acute care and long-term care restricted","Minister of Health, Provincial Health Officer. Municipalities subsequently added own restrictions.","March 16, 2020"
"BC014","British Columbia","Health workforce","Licence reinstatement/reclassification","Modification to temporary registration criteria for nursing professionals announced","British Columbia College of Nursing Professionals","March 16, 2020"
"BC083","British Columbia","Health services","Delayed/resumed medical procedures","Non-urgent procedures and elective surgeries postponed","Minister of Health, Provincial Health Officer","March 16, 2020"
"BC085","British Columbia","Closures/openings","Health services","Recommendation to suspend all non-essential dental services issued","College of Dental Hygienists of British Columbia, College of Dental Surgeons of British Columbia","March 16, 2020"
"BC086","British Columbia","Health services","Telemedicine/virtual care","Virtual care guidelines for psychologists published","College of Psychologists of British Columbia","March 16, 2020"
"BC017","British Columbia","Closures/openings","Non-essential services","Distancing measures in restaurants ordered","Minister of Health, Provincial Health Officer","March 17, 2020"
"BC018","British Columbia","Closures/openings","Education","Schools closed","Government of British Columbia, Provincial Health Officer","March 17, 2020"
"BC161","British Columbia","Closures/openings","Non-essential services","Entertainment businesses (including those serving alcohol) closed","Government of British Columbia","March 17, 2020"
"BC165","British Columbia","Public information","Phase and alert level changes","All regions entered Phase 1 of reopening plan, the initial pandemic response","Government of British Columbia","March 17, 2020"
"BC016","British Columbia","State of emergency","State of emergency","Public health state of emergency declared","Government of British Columbia, Provincial Health Officer","March 17, 2020"
"BC019","British Columbia","Closures/openings","Health services","Non-essential speech and hearing services suspended","College of Speech and Hearing Health Professionals of British Columbia","March 18, 2020"
"BC097","British Columbia","State of emergency","State of emergency","Provincial state of emergency declared","Government of British Columbia, Minister of Public Safety and Solicitor General","March 18, 2020"
"CAN031","Canada","Travel","Restrictions","Travel restrictions on the entry of all foreign nationals (except from the United States) announced","Government of Canada","March 18, 2020"
"CAN038","Canada","State of emergency","State of emergency","State of emergency declared","Assembly of First Nations executive committee","March 23, 2020"
"BC020","British Columbia","Health workforce","Licence reinstatement/reclassification","Modification to temporary registration criteria for midwives announced","College of Midwives of British Columbia","March 19, 2020"
"BC021","British Columbia","Health services","Telemedicine/virtual care","Temporary billing codes for physicians announced","Doctors of BC, Government of British Columbia","March 19, 2020"
"BC076","British Columbia","Health workforce","Change in practice","Licensed practical nurses permitted to perform nasopharyngeal swabs","British Columbia College of Nursing Professionals","March 19, 2020"
"BC087","British Columbia","Distancing","Work from home","Recommendation for the adoption of work-from-home policies issued","WorkSafeBC, Government of British Columbia","March 19, 2020"
"CAN082","Canada","Health workforce","Change in practice","Exemptions under the Controlled Drugs and Substances Act issued","Health Canada","March 19, 2020"
"BC099","British Columbia","Closures/openings","Non-essential services","Restaurants (except takeout/delivery) closed","Minister of Health, Provincial Health Officer","March 20, 2020"
"CAN126","Canada","Travel","Restrictions","Travel restrictions on the entry of foreign nationals from the United States announced","Government of Canada","March 21, 2020"
"BC001","British Columbia","Closures/openings","Health services","Non-essential health services closed","Provincial Health Officer","March 23, 2020"
"BC337","British Columbia","Closures/openings","Daycares","Announced "Public Health Guidance for Child Care Settings" for child care owners/operators to minimize impact of infection and illness","BC Centre for Disease Control","March 24, 2020"
"CAN045","Canada","Travel","Self-isolation","Mandatory 14-day self-isolation for those returning from international travel announced","Government of Canada","March 24, 2020"
"BC123","British Columbia","Health services","Telemedicine/virtual care","Virtual care tool kit for health care providers published","Government of British Columbia — BC Centre for Disease Control","March 25, 2020"
"BC024","British Columbia","Health workforce","Safety guidelines","Order restricting staff movement between health care facilities in private sector issued","Minister of Health, Provincial Health Officer","March 26, 2020"
"CAN044","Canada","Public information","Masks","Guidance on use of non-medical masks published","Health Canada","March 26, 2020"
"BC027","British Columbia","Distancing","Gatherings","Recommendation to avoid gatherings of any size issued","Minister of Health, Provincial Health Officer","March 27, 2020"
"BC096","British Columbia","Health workforce","Change in practice","Nurse practitioners permitted to initiate prescriptions verbally and/or via fax","British Columbia College of Nursing Professionals","March 27, 2020"
"CAN047","Canada","Health workforce","Safety guidelines","Guidance to optimize the use of masks and respirators published","Health Canada","March 28, 2020"
"BC127","British Columbia","Health workforce","Licence reinstatement/reclassification","Modification to temporary registration criteria for social workers announced","British Columbia College of Social Workers","March 29, 2020"
"BC037","British Columbia","Health workforce","Licence reinstatement/reclassification","Modification to temporary registration criteria for pharmacy professionals announced","College of Pharmacists of British Columbia","March 30, 2020"
"CAN004","Canada","Travel","Restrictions","New domestic transportation COVID-19 risk mitigation measures announced","Transport Canada","March 30, 2020"
"BC253","British Columbia","Health services","Telemedicine/virtual care","Toolkit for physiotherapists providing virtual care/telerehabilitation services released","Physiotherapy Association of British Columbia","March 31, 2020"
