Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN021","Canada","Travel","Restrictions","Travel advisory warning against non-essential travel to China issued","Government of Canada","January 29, 2020"
"CAN022","Canada","Travel","Restrictions","Travel advisory warning against all travel to the cities of Daegu and Cheongdo issued","Government of Canada","February 29, 2020"
"CAN023","Canada","Travel","Restrictions","Travel advisory warning against all non-essential travel to affected regions of Italy issued","Government of Canada","March  2, 2020"
"CAN024","Canada","Travel","Restrictions","Travel advisory warning against all travel to Iran issued","Government of Canada","March  6, 2020"
"CAN025","Canada","Travel","Restrictions","Travel advisory warning against all cruise ship travel issued","Government of Canada","March  9, 2020"
"CAN026","Canada","Distancing","Work from home","Recommendation for the adoption of work-from-home policies issued","Government of Canada","March 10, 2020"
"CAN075","Canada","Case management","Self-isolation","Guidance on self-isolation published","Public Health Agency of Canada","March 11, 2020"
"CAN027","Canada","Travel","Restrictions","Cruise ship season postponed","Government of Canada","March 13, 2020"
"CAN028","Canada","Travel","Restrictions","Travel advisory warning against all non-essential travel outside Canada issued","Government of Canada","March 14, 2020"
"CAN031","Canada","Travel","Restrictions","Travel restrictions on the entry of all foreign nationals (except from the United States) announced","Government of Canada","March 18, 2020"
"CAN038","Canada","State of emergency","State of emergency","State of emergency declared","Assembly of First Nations executive committee","March 23, 2020"
"CAN082","Canada","Health workforce","Change in practice","Exemptions under the Controlled Drugs and Substances Act issued","Health Canada","March 19, 2020"
"CAN126","Canada","Travel","Restrictions","Travel restrictions on the entry of foreign nationals from the United States announced","Government of Canada","March 21, 2020"
"CAN045","Canada","Travel","Self-isolation","Mandatory 14-day self-isolation for those returning from international travel announced","Government of Canada","March 24, 2020"
"CAN044","Canada","Public information","Masks","Guidance on use of non-medical masks published","Health Canada","March 26, 2020"
"CAN047","Canada","Health workforce","Safety guidelines","Guidance to optimize the use of masks and respirators published","Health Canada","March 28, 2020"
"CAN004","Canada","Travel","Restrictions","New domestic transportation COVID-19 risk mitigation measures announced","Transport Canada","March 30, 2020"
"CAN054","Canada","Health workforce","Supply management","Deployment of Canadian Rangers to Inuit communities in northern Quebec announced","Prime Minister, Government of Canada, Canadian Armed Forces","April  3, 2020"
"CAN104","Canada","Health workforce","Supply management","Deployment of Canadian Ranger Patrol in 27 Quebec communities announced","Government of Canada","April  3, 2020"
"CAN181","Canada","Health workforce","Supply management","Deployment of Canadian Rangers to communities in Saskatchewan, northern Ontario, B.C., Yukon, Northwest Territories announced","Government of Canada","April  5, 2020"
"CAN057","Canada","Travel","Restrictions","Restrictions on commercial marine activity announced","Transport Canada","April  6, 2020"
"CAN006","Canada","Public information","Masks","Recommendation for the use of face masks issued","Public Health Agency of Canada","April  7, 2020"
"CAN014","Canada","Travel","Self-isolation","Requirement of a quarantine plan for all returning international travellers prior to entry announced","Prime Minister","April 15, 2020"
"CAN183","Canada","Health workforce","Safety guidelines","Guidance for health workers in acute health care settings published","Government of Canada","April 15, 2020"
"CAN020","Canada","Public information","Masks","Mandatory use of face coverings for all air and rail passengers announced","Transport Canada","April 17, 2020"
"CAN102","Canada","Health workforce","Supply management","Deployment of Canadian Armed Forces to support long-term care facilities in Quebec announced","Government of Canada","April 20, 2020"
"CAN091","Canada","Health workforce","Supply management","Restriction on international students working beyond 20 hours per week in essential service lifted","Immigration, Refugees and Citizenship Canada","April 22, 2020"
"CAN111","Canada","Health workforce","Change in practice","Directive for health care providers not to prescribe unproven therapies issued","Health Canada","April 25, 2020"
"CAN103","Canada","Health workforce","Supply management","Deployment of Canadian Armed Forces to support long-term care facilities in Ontario announced","Government of Canada","April 28, 2020"
"CAN098","Canada","Health services","Telemedicine/virtual care","Investment of $240.5 million in virtual care and mental health tools announced","Prime Minister","May  3, 2020"
"CAN113","Canada","Health workforce","Supply management","Essential health service personnel deployed to remote First Nations communities in Ontario, Manitoba and Alberta","Indigenous Services Canada","May 10, 2020"
"CAN116","Canada","Case management","Other","Use of 1st COVID-19 serological test authorized","Health Canada","May 12, 2020"
"CAN120","Canada","Closures/openings","Recreation","National parks and other national sites reopened for limited services and operations","Parks Canada","June  1, 2020"
"CAN131","Canada","Public information","Masks","Mandatory use of face coverings for transportation sector workers announced","Transport Canada","June  4, 2020"
